Load_MPa,Time_day,Strain_dimensionless
1.4,0.000115740740740741,0.103482142857143
1.4,0.000119665120057918,0.103526785714286
1.4,0.000123640244678942,0.103575892857143
1.4,0.000127836723680921,0.103629464285714
1.4,0.000132131657573043,0.103683035714286
1.4,0.000136616343994862,0.103741071428571
1.4,0.000141257946049368,0.103799107142857
1.4,0.000146052388231185,0.103861607142857
1.4,0.000151115126644932,0.103928571428571
1.4,0.000156134980886876,0.103995535714286
1.4,0.000161493470186863,0.1040625
1.4,0.00016686363271696,0.104133928571429
1.4,0.000172590325002008,0.104205357142857
1.4,0.000178382910546713,0.104276785714286
1.4,0.000184443550583409,0.104352678571429
1.4,0.000190570533105621,0.104428571428571
1.4,0.000197038695981312,0.104504464285714
1.4,0.000203658610424223,0.104584821428571
1.4,0.000210570996309877,0.104665178571429
1.4,0.000217725241113325,0.10475
1.4,0.000225040161977239,0.104830357142857
1.4,0.000232755703426155,0.104915178571429
1.4,0.000240575603142334,0.105
1.4,0.000248832060394603,0.105089285714286
1.4,0.000257371875915408,0.105174107142857
1.4,0.000265956845192958,0.105263392857143
1.4,0.000274956246925622,0.105348214285714
1.4,0.000284260168857746,0.1054375
1.4,0.000293878915291176,0.10553125
1.4,0.000303823139202939,0.105620535714286
1.4,0.00031410385404366,0.105709821428571
1.4,0.000324732445935199,0.105803571428571
1.4,0.000335720686281039,0.105892857142857
1.4,0.000347069194869113,0.105986607142857
1.4,0.000358813262262429,0.106080357142857
1.4,0.000370954723377162,0.106174107142857
1.4,0.000383507025153333,0.106267857142857
1.4,0.000396484069546193,0.106361607142857
1.4,0.000409900228922949,0.106455357142857
1.4,0.000423756260017475,0.106549107142857
1.4,0.000438095251058905,0.106647321428571
1.4,0.000452919442399388,0.106741071428571
1.4,0.000468245252162732,0.106834821428571
1.4,0.00048408965402638,0.106933035714286
1.4,0.000500453541688392,0.107026785714286
1.4,0.000517060771239941,0.107125
1.4,0.000535001892900252,0.107223214285714
1.4,0.000553160415761518,0.107316964285714
1.4,0.000571935257848714,0.107415178571429
1.4,0.000591150582305598,0.107513392857143
1.4,0.000610787860347173,0.107607142857143
1.4,0.000631539654053212,0.107705357142857
1.4,0.000653192101930381,0.107808035714286
1.4,0.000675137414794073,0.10790625
1.4,0.00069805228358935,0.108004464285714
1.4,0.000721024721359676,0.108098214285714
1.4,0.00074557148274927,0.108200892857143
1.4,0.000771236185608889,0.108299107142857
1.4,0.000797412747026077,0.108401785714286
1.4,0.000823737304457524,0.1085
1.4,0.000852518142772807,0.108602678571429
1.4,0.000882275203827988,0.108705357142857
1.4,0.000910128328856347,0.108799107142857
1.4,0.000940580724517156,0.108901785714286
1.4,0.000973832802856398,0.109008928571429
1.4,0.00100695272136286,0.109111607142857
1.4,0.00104012548034676,0.109214285714286
1.4,0.00107643095687663,0.109321428571429
1.4,0.00111093096442563,0.109419642857143
1.4,0.00115024366261492,0.109526785714286
1.4,0.0011882160369839,0.109633928571429
1.4,0.00122911783141651,0.109741071428571
1.4,0.00126906040267337,0.10984375
1.4,0.00131344424440178,0.109955357142857
1.4,0.00135617229608333,0.1100625
1.4,0.00140346265020987,0.110174107142857
1.4,0.0014510976379678,0.110285714285714
1.4,0.00150039933629119,0.110397321428571
1.4,0.0015519957247132,0.110508928571429
1.4,0.00160403140618413,0.110625
1.4,0.00165841871729208,0.110736607142857
1.4,0.00171236923781408,0.110848214285714
1.4,0.00177208034375947,0.11096875
1.4,0.00183259247362878,0.111089285714286
1.4,0.00189460342082015,0.111209821428571
1.4,0.00195864750291217,0.111330357142857
1.4,0.00202485649424374,0.111455357142857
1.4,0.00209337323811425,0.111575892857143
1.4,0.00216413642055007,0.111700892857143
1.4,0.00223729164082095,0.111830357142857
1.4,0.00231291975799521,0.111955357142857
1.4,0.00239110436445453,0.112089285714286
1.4,0.0024711094075501,0.11221875
1.4,0.00255506646691501,0.112352678571429
1.4,0.00264187600533069,0.112486607142857
1.4,0.00273163493706256,0.112625
1.4,0.00282820563700758,0.112772321428571
1.4,0.00291749111717488,0.112901785714286
1.4,0.00301922537947379,0.113049107142857
1.4,0.00312035084495441,0.113191964285714
1.4,0.0032232540414022,0.113339285714286
1.4,0.00333276555476351,0.113486607142857
1.4,0.00344416344928779,0.113638392857143
1.4,0.00356129897032255,0.113794642857143
1.4,0.0036873232473167,0.113955357142857
1.4,0.00381247484840788,0.114116071428571
1.4,0.00394016928827961,0.114276785714286
1.4,0.00407552992516413,0.114441964285714
1.4,0.00420643210957294,0.114602678571429
1.4,0.0043492028074708,0.114772321428571
1.4,0.00450101129926704,0.114950892857143
1.4,0.00464712575451731,0.115116071428571
1.4,0.00481093392972639,0.115303571428571
1.4,0.00497355996752871,0.115482142857143
1.4,0.00514151222048732,0.115669642857143
1.4,0.00531513605666963,0.115852678571429
1.4,0.00549462299989086,0.116044642857143
1.4,0.00568017104153807,0.116236607142857
1.4,0.00586553995216725,0.116428571428571
1.4,0.0060648243239829,0.116625
1.4,0.00627338415466438,0.116834821428571
1.4,0.00648911603199556,0.117044642857143
1.4,0.00670021542686096,0.117245535714286
1.4,0.0069375479241658,0.11746875
1.4,0.00717277684538469,0.1176875
1.4,0.00741376082468913,0.11790625
1.4,0.00765799761533888,0.118125
1.4,0.00792503552798134,0.118357142857143
1.4,0.00818611560446473,0.118584821428571
1.4,0.00846030008787814,0.118816964285714
1.4,0.00875123658654389,0.119058035714286
1.4,0.00904465012644152,0.119299107142857
1.4,0.00935630420576626,0.119553571428571
1.4,0.00967708673753301,0.119808035714286
