Load_MPa,Time_day,Strain_dimensionless
5,0.000115740740740741,0.169065255731922
5,0.000120008695485862,0.169038800705467
5,0.000124344125111613,0.169016754850088
5,0.000128933990255893,0.168990299823633
5,0.000133644972273882,0.168968253968254
5,0.00013857815588346,0.168946208112875
5,0.000143698629197626,0.168924162257496
5,0.000149002919439266,0.168902116402116
5,0.000154620305343917,0.168880070546737
5,0.000160206112687434,0.168862433862434
5,0.000166185788046829,0.168844797178131
5,0.000172195632488849,0.168827160493827
5,0.000178622815342963,0.1688139329806
5,0.000185142633490728,0.168800705467372
5,0.000191983667765284,0.168787477954145
5,0.000198919262536316,0.168774250440917
5,0.000206261890013261,0.168765432098765
5,0.000213798273963842,0.168756613756614
5,0.000221690124460943,0.168747795414462
5,0.000229881591283975,0.16873897707231
5,0.000238280990392434,0.168734567901235
5,0.000247165869344046,0.168730158730159
5,0.000256196800316007,0.168725749559083
5,0.000265759317427911,0.168725749559083
5,0.000275678754428755,0.168725749559083
5,0.000285679208676515,0.168725749559083
5,0.00029619225725578,0.168725749559083
5,0.000307092187998931,0.168730158730159
5,0.000318393238242322,0.168734567901235
5,0.000330110169258962,0.16873897707231
5,0.000342258285539481,0.168743386243386
5,0.000354853454782641,0.168752204585538
5,0.0003679121286215,0.16876102292769
5,0.000381437579003613,0.168769841269841
5,0.0003954745536109,0.168778659611993
5,0.000410028091522308,0.16879188712522
5,0.000425117202364527,0.168805114638448
5,0.000440761595322085,0.168818342151676
5,0.000456981704881204,0.168831569664903
5,0.000473781595110599,0.168844797178131
5,0.000491216846868803,0.168862433862434
5,0.000509293719169064,0.168880070546737
5,0.000528035823767939,0.168897707231041
5,0.000547467641339061,0.168915343915344
5,0.000567594040668402,0.168932980599647
5,0.000588077668606565,0.168955026455026
5,0.000610270155660285,0.16897266313933
5,0.00063279681474888,0.168994708994709
5,0.000656154991428476,0.169016754850088
5,0.000680129541192261,0.169038800705467
5,0.000704699875452593,0.169060846560847
5,0.000730738589012796,0.169082892416226
5,0.000757985932151488,0.169104938271605
5,0.0007856811744159,0.169126984126984
5,0.000814682710545821,0.169153439153439
5,0.000843839401568916,0.169175485008818
5,0.000875082578447499,0.169201940035273
5,0.000907843359417441,0.169223985890653
5,0.000941354219605769,0.169250440917108
5,0.000975150076835675,0.169272486772487
5,0.00101220567698273,0.169298941798942
5,0.00105063141633572,0.169325396825397
5,0.00108669977191318,0.169347442680776
5,0.00112624272182062,0.169373897707231
5,0.00116954691486076,0.169400352733686
5,0.00121280559066062,0.169422398589065
5,0.00125625610636316,0.16944885361552
5,0.00130394658153181,0.169470899470899
5,0.00134939384194143,0.169492945326279
5,0.00140132886935707,0.169519400352734
5,0.00145163842277976,0.169541446208113
5,0.00150598393209228,0.169567901234568
5,0.00155920528394491,0.169589947089947
5,0.00161851341117571,0.169611992945326
5,0.00167577210584535,0.169634038800706
5,0.0017393255489468,0.169656084656085
5,0.00180352857988614,0.169678130511464
5,0.00187016909697029,0.169695767195767
5,0.00194011317408175,0.169717813051146
5,0.00201085556029489,0.16973544973545
5,0.0020850061184768,0.169757495590829
5,0.00215876808294238,0.169775132275132
5,0.00224063908679185,0.169792768959436
5,0.00232385074300396,0.169810405643739
5,0.00240936888716763,0.169828042328042
5,0.00249794383971865,0.16984126984127
5,0.00258977504840429,0.169858906525573
5,0.00268507925699327,0.169872134038801
5,0.00278379007253115,0.169885361552028
5,0.00288612976609144,0.169898589065256
5,0.00299223174509896,0.169911816578483
5,0.00310223432139824,0.169925044091711
5,0.00321511876247642,0.169933862433862
5,0.00333391764329699,0.16994708994709
5,0.003457106151726,0.169955908289242
5,0.00358484648483476,0.169964726631393
5,0.003722684342688,0.169973544973545
5,0.00385048473061375,0.169977954144621
5,0.00399651387227715,0.169986772486772
5,0.00414208914445701,0.169991181657848
5,0.00429064054095945,0.169995590828924
5,0.00444918003263182,0.17
5,0.00461091064350009,0.17
5,0.00478145693466194,0.170004409171076
5,0.00496548408023648,0.170004409171076
5,0.00514877301555121,0.170004409171076
5,0.00533631997699943,0.170004409171076
5,0.00553569757957185,0.170004409171076
5,0.00572905075888043,0.170004409171076
5,0.00594052492675437,0.17
5,0.00616604140788679,0.169995590828924
5,0.00638371811184662,0.169995590828924
5,0.00662845430172022,0.169986772486772
5,0.00687213430787802,0.169982363315697
5,0.00712451517461774,0.169977954144621
5,0.00738616479238045,0.169969135802469
5,0.00765742355838658,0.169964726631393
5,0.00793864437103037,0.169955908289242
5,0.00822038365630231,0.16994708994709
5,0.00852412745254459,0.169938271604938
5,0.00884292869293221,0.169925044091711
5,0.00917365305758542,0.169916225749559
5,0.00949819247493136,0.169907407407407
5,0.00986411226524986,0.16989417989418
5,0.0102278526774802,0.169880952380952
5,0.0106015573146408,0.169867724867725
5,0.010981373450152,0.169854497354497
5,0.0113978406358186,0.16984126984127
5,0.011806184773853,0.169828042328042
5,0.0122362317139578,0.169814814814815
5,0.0126938651632225,0.169801587301587
5,0.0131567218274165,0.16978835978836
5,0.0136497680337979,0.169770723104056
5,0.0141587324144567,0.169757495590829
5,0.0146776545189953,0.169739858906526
5,0.0152161451756495,0.169726631393298
5,0.0157738217985547,0.169708994708995
5,0.0163389417955475,0.169695767195767
5,0.0169585940764986,0.169678130511464
5,0.0175674299560141,0.169664902998236
5,0.0182343314563138,0.169647266313933
5,0.0189074080677375,0.169634038800706
5,0.0195954128961418,0.169616402116402
5,0.0202967134047779,0.169603174603175
5,0.0210687477695743,0.169585537918871
5,0.0218361887916912,0.169572310405644
5,0.0226536780388112,0.169559082892416
