Time_sec,StrainExp_percentage,StrainModel_percentage
10,1.39030423280423,1.3780214308269
10.3687512899785,1.3917151675485,1.38026946627373
10.7433324096434,1.39312169312169,1.38247991674815
11.1398967581092,1.39457671957672,1.38474523122957
11.5469256044634,1.3960405643739,1.38699566899223
11.9731526683309,1.39753527336861,1.38927670974226
12.4155615626749,1.39905643738977,1.39156817322553
12.8738522395526,1.40060405643739,1.39386565409586
13.3591943817144,1.40220458553792,1.39621996335396
13.8418081361943,1.40376543209877,1.39848615024669
14.358452087246,1.4054012345679,1.40083502435612
14.8777026470366,1.40701058201058,1.40312082486737
15.433011245632,1.40869929453263,1.40548789356212
15.9963235335989,1.41037918871252,1.40781279913465
16.5873888949205,1.41210758377425,1.41017526061173
17.1866242831377,1.41382716049383,1.41249530365177
17.8210272971457,1.41561287477954,1.41487468027452
18.4721708704759,1.41740740740741,1.41724018697019
19.1540267534255,1.41925044091711,1.4196396492778
19.8617694869354,1.42112874779541,1.42205188909435
20.5874775699063,1.42301587301587,1.42444810498065
21.3551311113256,1.42497354497354,1.42690343768313
22.135403547303,1.42692239858907,1.42932112435386
22.9616050257715,1.42894620811288,1.43180120325636
23.8186443826444,1.43100088183422,1.43429286539849
24.6826836296509,1.43303791887125,1.43672702816593
25.5910110268994,1.43513227513228,1.43920733610856
26.5327650431076,1.4372619047619,1.44169951040216
27.5091757841366,1.43942680776014,1.44420375602718
28.5215186239743,1.44162257495591,1.44672028034743
29.5711158706112,1.44385361552028,1.44924929312189
30.6593384932202,1.44611992945326,1.45179100651661
31.7876079128976,1.44842151675485,1.45434563511643
32.9562068259122,1.45075837742504,1.45691082154349
34.1690014319818,1.45312610229277,1.45949192057954
35.4264271075274,1.45553350970018,1.46208659298146
36.7301262842951,1.45797619047619,1.46469506312309
38.0818018358281,1.46044973544974,1.46731755785482
39.483219301736,1.46296296296296,1.46995430651499
40.9347298175557,1.4655114638448,1.4726028823933
42.4411355694646,1.46809082892416,1.47526882209545
44.0029773362071,1.47070987654321,1.47794971854308
45.6222951735499,1.47336419753086,1.48064581113598
47.3012042116949,1.47605379188713,1.48335734181767
49.0401251137499,1.47877425044092,1.48608181995764
50.8099105676072,1.48148148148148,1.48877267742657
52.7273414490486,1.4843430335097,1.49160085790071
54.6736447943032,1.48718253968254,1.49438504691398
56.6917912594203,1.49005731922399,1.49718602460263
58.7631923590113,1.49293209876543,1.49997586977933
60.886069239104,1.49581569664903,1.50275149339214
63.1358140907056,1.49879188712522,1.50560671188812
65.4899845378886,1.50183421516755,1.5085056381028
67.8828534695338,1.50485008818342,1.51136525629636
70.3885861911589,1.50792328042328,1.51427196068504
72.9077242955543,1.51093915343915,1.51710954841344
75.6071347778639,1.51409171075838,1.52006210416145
78.4376662536669,1.51731481481481,1.52306658550947
81.3330045739384,1.52052469135802,1.52604933680122
84.2529666386023,1.52367724867725,1.52897078211292
87.4545704913079,1.52704585537919,1.53208052065931
90.7745543714062,1.53044091710758,1.53520877272827
93.8908602932988,1.53354497354497,1.53806155123726
97.3073711653016,1.53686507936508,1.54110212237403
101.04885344397,1.5404012345679,1.54433419692546
104.786403033078,1.5438315696649,1.54746759099194
108.540527589777,1.54718694885362,1.5505252749093
112.660984644348,1.55077160493827,1.55378467535254
116.58762794374,1.55409611992945,1.55680263603771
121.074814312451,1.55778218694885,1.56015298761214
125.421559728171,1.56126102292769,1.56330476981879
130.117011732773,1.56491181657848,1.56661255296784
134.71533653284,1.56838624338624,1.56976062921961
139.839558725581,1.57214726631393,1.57316920779829
144.786709945038,1.5756746031746,1.57636677673107
150.277727429004,1.57948412698413,1.57981558489425
155.824869302163,1.58321428571429,1.58319938506079
161.582609978233,1.58697530864198,1.58661199799779
167.625778240663,1.59081128747795,1.59009165803041
173.737920409479,1.59457231040564,1.59351148422825
180.144528636396,1.59840388007055,1.59699550611269
186.517562366222,1.60210317460317,1.60036558960299
193.591217098816,1.60608906525573,1.60400155406209
200.780704195542,1.6100176366843,1.60759148797588
208.169471851283,1.61392857142857,1.61117720238769
215.822347751691,1.61786596119929,1.61478732528344
223.756564182131,1.62182098765432,1.6184257885151
231.990847804219,1.6258024691358,1.62209664042271
240.519462266691,1.62980599647266,1.62579290559729
249.3616117903,1.63382716049383,1.62951860945247
258.52882277655,1.63787037037037,1.63327412398466
268.033045368808,1.64193562610229,1.63705982420797
277.786261077963,1.64598324514991,1.64083773463349
288.05048438086,1.6501102292769,1.6447039639474
298.693971509126,1.65425485008818,1.64860183464243
309.730736289723,1.65842151675485,1.65253173973931
321.639927208243,1.66277777777778,1.65665261474526
332.681880725028,1.66669312169312,1.66036938377557
345.298798564746,1.67103615520282,1.66450152280089
357.876502081086,1.67522486772487,1.66850655049666
370.711342738897,1.67936948853616,1.67248324223376
384.409154819389,1.68365520282187,1.6766121608694
398.382679598408,1.68789682539683,1.6807093033774
413.117879154792,1.6922266313933,1.68491198285174
429.017824532432,1.69675485008818,1.68931986102911
444.853988543625,1.70111992945326,1.69358738704219
461.058046012751,1.70544973544974,1.69783537745299
478.284270875008,1.70991181657848,1.70222797564576
494.989985567269,1.71410052910053,1.7063739163105
513.261353671578,1.71854497354497,1.71078792700514
532.745977641419,1.723139329806,1.71536497897517
551.553244863548,1.72743827160494,1.71966354272009
572.698451668627,1.73212081128748,1.72436527193566
593.752404200661,1.73663139329806,1.72891735813247
615.558111086973,1.74116402116402,1.7335045091194
638.164638061671,1.74572310405644,1.73813171117372
661.6013954446,1.75029982363316,1.7427994168957
685.898873657024,1.75490299823633,1.74750808217209
