Time_sec,StrainExp_percentage,StrainModel_percentage
10,0.652,0.669490805093945
10.3400986125063,0.653370535714286,0.671080445136473
10.6971022594076,0.654767857142857,0.672697750686575
11.0531821574348,0.656116071428571,0.674261752447264
11.4256768313012,0.657486607142857,0.67584862209026
11.8111177006728,0.658861607142857,0.677440925634492
12.2046865386654,0.660223214285714,0.67901785484636
12.6302695933287,0.661651785714286,0.680670875559275
13.0463575389019,0.663008928571429,0.682237849518314
13.496348710556,0.664433035714286,0.683881220251955
13.9502501339147,0.665825892857143,0.685488233994505
14.4213364291688,0.667232142857143,0.687105670355552
14.908826974154,0.668642857142857,0.688728717572834
15.412796368559,0.6700625,0.690355778034497
15.9338016539123,0.671482142857143,0.691986873342381
16.4724187016527,0.67290625,0.69362202564234
17.0286761612356,0.674339285714286,0.695259614721125
17.6025462995097,0.675772321428572,0.696898004493654
18.20968820941,0.677245535714286,0.698578473965998
18.8089569734297,0.67865625,0.70018711438617
19.4292403616085,0.680075892857143,0.701803035296393
20.1147778765762,0.681598214285714,0.703534423511558
20.7608456055074,0.682991071428571,0.705116953151291
21.4769226569522,0.684495535714286,0.706818702058461
22.2103060713032,0.685986607142857,0.708508141748464
22.9932049857211,0.68753125,0.710255771983241
23.7419939575402,0.688973214285714,0.711876653931395
24.5314894473146,0.690441964285714,0.713535389098572
25.4080431932408,0.69203125,0.715320361556763
26.2538136841569,0.693517857142857,0.71698966607591
27.1376698890454,0.695026785714286,0.718682039496234
28.0531488780973,0.696544642857143,0.72038229367541
29.0246131924387,0.698107142857143,0.722131583781139
29.9897722792812,0.699616071428572,0.723816991877481
31.0055927917659,0.701160714285714,0.725537846959417
32.0515546912221,0.702705357142857,0.727256461454968
33.1316991456938,0.704254464285714,0.728978009984721
34.2482447062511,0.7058125,0.730704253048591
35.4118443045374,0.707388392857143,0.732449153456395
36.6015770034583,0.708950892857143,0.73417970999164
37.8199523625947,0.710504464285714,0.735899306027701
39.1270312112586,0.712129464285714,0.737688578026049
40.446966751942,0.71371875,0.739440766414967
41.7808302731298,0.71528125,0.741159090127155
43.2506988168623,0.716955357142857,0.742995479855617
44.6963560962996,0.718549107142857,0.744746825242005
46.2041706972084,0.720169642857143,0.746519210262473
47.7580827436696,0.721790178571429,0.74829139898801
49.411917516673,0.723464285714286,0.750120702159763
51.0737106558915,0.725098214285714,0.75190346043463
52.78963550578,0.726736607142857,0.753689708476456
54.5505015575902,0.728375,0.755468645105309
56.4132653122436,0.730058035714286,0.757294584681419
58.3105237464092,0.73171875,0.759098885866737
60.3036896415814,0.733419642857143,0.760937891134827
62.3836669744087,0.735138392857143,0.762799132761341
64.4602639103006,0.7368125,0.764602086318045
66.6192859684912,0.7385,0.766421692009114
68.8758298523083,0.740214285714286,0.768267354385559
71.2609599891396,0.741973214285714,0.770159720485396
73.6477635045346,0.7436875,0.771997024609833
76.1119773551154,0.74540625,0.773838420967479
78.6507900553109,0.747125,0.775680223323517
81.4258891410841,0.748950892857143,0.777633216245062
84.0468056644722,0.750629464285714,0.779423515867069
86.9399370993346,0.752433035714286,0.781342455301197
89.8817956553794,0.754209821428572,0.783235851838141
92.8304778700212,0.755946428571429,0.785078718936861
96.0323597268828,0.757776785714286,0.787021421807491
99.3678245501334,0.759629464285714,0.788984545885193
102.682365884168,0.761419642857143,0.790877918572217
106.153381400039,0.763245535714286,0.792803130489354
109.741729123906,0.765075892857143,0.794735360434419
113.47780634773,0.766933035714286,0.796688322639481
117.317648733903,0.768785714285714,0.798636893765872
121.275315066347,0.770642857142857,0.800586926367264
125.441609122438,0.772544642857143,0.802579770322591
129.677649504864,0.774428571428572,0.804546828902552
133.989836576924,0.776290178571429,0.806491791165425
138.556033735186,0.778209821428571,0.808492040408731
143.239702043481,0.780125,0.810484317206437
148.180284206566,0.782084821428571,0.812524729277094
153.112836893299,0.783991071428571,0.814503087014588
158.193788106067,0.78590625,0.816483385796514
163.71552655953,0.787924107142857,0.818573329571384
169.137063788123,0.789857142857143,0.82056625722916
174.825384062191,0.791825892857143,0.822598216445941
180.867447773071,0.793866071428572,0.824694422972184
186.825892619308,0.795821428571429,0.826702819931496
193.121966360771,0.797830357142857,0.82876549084751
199.756481390556,0.799892857142857,0.830876925930534
206.59829213662,0.801964285714286,0.832991736119272
213.582021732095,0.804017857142857,0.835088949951104
220.669604029989,0.806049107142857,0.837157777912653
228.273279276406,0.808169642857143,0.8393146443001
235.887627512797,0.810241071428572,0.841413586988677
243.999434388947,0.812383928571429,0.843586724233423
252.28942548987,0.814517857142857,0.845744664412677
260.566088594561,0.816589285714286,0.847839572386288
269.427905114281,0.818754464285714,0.850020651546846
278.618924973588,0.820941964285714,0.85221923430721
287.989276120582,0.823107142857143,0.85439823841687
297.734207440654,0.825308035714286,0.856601553884296
307.962573024172,0.827553571428571,0.858849551169787
318.404548289803,0.829785714285714,0.861080438990862
329.025340694479,0.831995535714286,0.863287218928144
340.249413565681,0.834272321428571,0.865555236147233
351.587169205612,0.836513392857143,0.867783410408315
363.883502176753,0.838879464285714,0.870133015966445
376.284172675548,0.841205357142857,0.872436352179469
388.602770436238,0.843455357142857,0.874662651566814
401.899334981375,0.845821428571429,0.877000784123094
415.305203168064,0.848147321428572,0.879294032014943
429.872910452695,0.850607142857143,0.881717549241782
444.123187317404,0.852950892857143,0.884023457410714
458.891671123711,0.855321428571429,0.886349709074441
474.435356090533,0.857754464285714,0.888732440395902
490.195501270406,0.86015625,0.891083765980811
507.677268302953,0.86275,0.893620541284928
524.43694446304,0.865174107142857,0.895986308971335
